Male,Single,Age,amount_3month,max_amount_3month,min_amount_3month,distinct_payment_code_3month,count_payment_code_3month,distinct_trans_group_3month,distinct_ref_no_3month,Incredible
1,0,29.0,7.35,40.0,0.592,0.0,0.0,2.0,33.0,0
1,1,35.0,1.38,6.85,11.0318,0.0,0.0,2.0,5.0,1
1,0,41.0,1.5699999999999998,6.0,2.1,2.0,3.0,2.0,7.0,0
1,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,32.0,7.449999999999999,38.0,0.0592,1.0,11.0,3.0,24.0,0
1,1,28.0,0.0130999999999999,0.0999999999999999,0.0592,1.0,5.0,1.0,5.0,0
1,1,27.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
1,0,29.0,34.3594,30.0,0.0592,1.0,2.0,3.0,141.0,1
1,0,32.0,0.0499999999999999,0.44,0.177,1.0,3.0,2.0,4.0,0
0,1,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,23.0,0.00131,0.02,0.0592,1.0,1.0,2.0,3.0,0
1,0,34.0,2.76,29.06,0.0887,1.0,2.0,3.0,32.0,1
1,1,25.0,0.673,2.6,0.0592,1.0,6.0,3.0,20.0,1
1,1,37.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
1,0,48.0,9.2,110.0,29.5788,0.0,0.0,2.0,3.0,1
1,1,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,46.0,5.06,20.0,0.994,2.0,4.0,3.0,14.0,1
0,1,31.0,69.7505,380.0,0.296,2.0,10.0,5.0,79.0,0
1,1,39.0,82.0562,122.99,0.592,0.0,0.0,3.0,62.0,0
0,0,53.0,0.0394,0.6,1.77,0.0,0.0,2.0,3.0,0
1,1,29.0,8.52,129.6,383.3412,0.0,0.0,1.0,1.0,0
1,1,33.0,1.23,16.8,5.83,0.0,0.0,2.0,4.0,0
1,1,26.0,0.5900000000000001,4.0,0.118,1.0,8.0,2.0,12.0,0
0,0,30.0,68.3622,572.1173,32.1522,0.0,0.0,2.0,5.0,0
1,1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,34.0,5.3,26.11,0.296,1.0,1.0,3.0,20.0,0
0,0,33.0,39.3045,50.0,0.0592,1.0,6.0,4.0,72.0,0
1,1,30.0,1255.0784,557.604,0.0592,0.0,0.0,2.0,167.0,0
1,1,21.0,1.0,6.0,0.355,0.0,0.0,1.0,9.0,0
1,0,55.0,0.0117,0.178,0.5259999999999999,0.0,0.0,1.0,1.0,0
1,1,34.0,1.32,6.380000000000001,0.215,1.0,3.0,2.0,8.0,1
0,1,48.0,0.0789,1.2,3.5500000000000003,0.0,0.0,1.0,0.0,1
0,0,45.0,0.753,5.03,0.118,2.0,14.0,2.0,15.0,0
1,1,30.0,0.0526,0.3999999999999999,1.1800000000000002,1.0,1.0,3.0,3.0,0
0,1,24.0,5.199999999999999,79.127,234.0482,0.0,0.0,1.0,1.0,0
1,1,21.0,0.194,1.9,0.0592,1.0,1.0,3.0,7.0,0
0,1,34.0,4.26,40.0,0.237,1.0,1.0,3.0,15.0,0
1,0,30.0,314.5525,550.0,0.0592,2.0,9.0,4.0,171.0,1
0,0,34.0,114.6505,600.0,0.0947,1.0,7.0,2.0,176.0,0
1,1,26.0,7.729999999999999,18.416,0.177,1.0,3.0,3.0,38.0,0
0,0,35.0,1.64,6.0,0.0592,1.0,1.0,2.0,24.0,0
1,1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,38.0,6.34,16.71,0.296,1.0,3.0,4.0,19.0,0
1,1,29.0,0.0434,0.6,0.0592,1.0,2.0,2.0,4.0,0
1,1,27.0,0.0789,0.7999999999999999,1.1800000000000002,1.0,1.0,2.0,2.0,0
0,1,23.0,2.65,8.4,0.0592,1.0,4.0,3.0,45.0,0
1,1,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,24.0,10.1056,92.0,0.296,0.0,0.0,2.0,23.0,0
1,1,26.0,3.0,7.6,0.296,1.0,1.0,5.0,28.0,1
1,0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1
1,1,29.0,0.0263,0.1999999999999999,0.296,1.0,3.0,1.0,3.0,0
1,0,41.0,0.092,1.0,1.1800000000000002,0.0,0.0,2.0,3.0,0
0,1,22.0,0.166,1.0,0.0592,2.0,14.0,2.0,15.0,0
0,0,32.0,8.370000000000001,59.99999999999999,32.5367,0.0,0.0,1.0,3.0,0
1,1,41.0,15.9756,30.0,0.296,1.0,1.0,3.0,41.0,0
1,0,31.0,4.16,12.0,0.592,1.0,2.0,3.0,22.0,0
0,0,52.0,2406.6988,4000.0,0.68,2.0,6.0,3.0,81.0,1
0,1,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,37.0,19.553,42.8104,0.296,1.0,1.0,4.0,47.0,0
1,1,39.0,0.8919999999999999,4.0,0.592,0.0,0.0,1.0,7.0,0
1,1,30.0,0.578,3.2,0.0592,1.0,4.0,2.0,8.0,0
1,1,22.0,1.43,11.0,0.148,1.0,2.0,3.0,15.0,0
1,0,22.0,6.02,13.999999999999998,0.0592,1.0,9.0,3.0,29.0,0
0,0,51.0,6.830000000000001,13.999999999999998,0.177,1.0,3.0,3.0,40.0,0
0,1,19.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0,1,28.0,0.23,3.2,0.296,1.0,3.0,3.0,6.0,0
1,1,37.0,62.2549,157.4,0.0228,2.0,10.0,3.0,216.0,0
0,0,31.0,3.37,25.63,0.0592,1.0,5.0,4.0,17.0,0
1,0,27.0,4.93,12.0,0.592,0.0,0.0,2.0,30.0,0
1,1,26.0,4.76,18.0,0.0592,1.0,11.0,2.0,23.0,0
0,1,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,27.0,0.224,1.0,0.296,1.0,2.0,2.0,6.0,0
0,0,28.0,3.89,10.0,0.592,1.0,1.0,2.0,26.0,0
1,0,43.0,6.97,100.0,17.747300000000003,0.0,0.0,1.0,2.0,1
1,0,40.0,169.6288,87.2,0.296,2.0,2.0,2.0,125.0,1
1,0,39.0,11.1369,32.0,1.77,0.0,0.0,2.0,15.0,1
0,0,36.0,24.2452,41.916,0.0592,3.0,7.0,4.0,129.0,1
0,0,28.0,9.03,30.826,1.1800000000000002,0.0,0.0,3.0,16.0,0
0,0,37.0,45.8245,660.0,1.08,1.0,1.0,2.0,7.0,0
1,0,22.0,0.302,2.0,0.296,1.0,2.0,3.0,7.0,0
0,1,35.0,39.3966,140.0,11.8315,0.0,0.0,1.0,9.0,0
0,0,63.0,6.569999999999999,100.0,295.788,0.0,0.0,1.0,1.0,0
1,1,20.0,1.67,7.6,0.0592,1.0,5.0,3.0,26.0,0
1,1,26.0,0.918,5.5600000000000005,1.1800000000000002,0.0,0.0,2.0,7.0,1
1,0,28.0,6.74,34.095,0.0592,1.0,25.0,4.0,43.0,0
0,0,38.0,1.49,16.0,0.592,1.0,1.0,3.0,7.0,1
1,1,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,31.0,1.64,20.96,11.8907,0.0,0.0,1.0,2.0,0
0,1,21.0,0.0657,1.0,2.96,0.0,0.0,2.0,3.0,0
0,1,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,1,35.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,28.0,6.329999999999999,20.0,0.296,1.0,3.0,3.0,26.0,0
1,1,32.0,0.868,10.0,1.77,0.0,0.0,2.0,4.0,0
0,0,35.0,0.0065499999999999,0.0996,0.295,0.0,0.0,1.0,1.0,0
0,0,27.0,1.4600000000000002,3.2,0.296,3.0,4.0,3.0,26.0,0
1,0,44.0,4.45,24.0,0.0592,2.0,10.0,3.0,23.0,1
1,1,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,23.0,0.212,1.6,0.118,1.0,3.0,3.0,7.0,0
1,0,32.0,4.75,30.0,0.0592,2.0,12.0,4.0,36.0,0
1,0,30.0,251.6175,2000.0,0.153,4.0,9.0,4.0,92.0,1
0,0,42.0,49.3588,340.0,0.118,1.0,2.0,2.0,13.0,0
1,0,30.0,1.84,6.999999999999999,0.592,1.0,2.0,2.0,11.0,0
0,1,32.0,86.8625,200.0,0.296,3.0,9.0,3.0,55.0,1
1,1,29.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0
1,1,26.0,2.98,28.98,0.887,0.0,0.0,1.0,6.0,0
1,1,29.0,3.15,5.0,1.77,0.0,0.0,3.0,25.0,0
1,0,36.0,1.61,6.64,0.254,1.0,1.0,3.0,13.0,1
1,0,53.0,0.35,0.752,0.296,2.0,25.0,1.0,25.0,0
1,1,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,26.0,7.63,66.0,147.894,0.0,0.0,1.0,2.0,0
1,0,42.0,135.3998,920.0,0.296,0.0,0.0,4.0,51.0,0
1,0,38.0,112.0153,200.0,0.8579999999999999,2.0,2.0,3.0,28.0,0
1,0,26.0,4.720000000000001,11.0,0.118,1.0,6.0,4.0,25.0,1
1,1,22.0,0.34,4.0,3.4400000000000004,0.0,0.0,2.0,3.0,0
1,0,64.0,66.6168,1012.2055,1.1800000000000002,1.0,2.0,2.0,3.0,0
1,0,31.0,3.34,37.226,1.83,0.0,0.0,1.0,4.0,0
0,0,28.0,2.02,26.0,2.07,0.0,0.0,1.0,3.0,0
1,0,44.0,4.34,29.0,0.7689999999999999,1.0,1.0,4.0,20.0,0
1,1,29.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,29.0,5.99,28.0,0.976,0.0,0.0,1.0,6.0,0
1,1,30.0,6.550000000000001,43.7078,0.266,2.0,2.0,3.0,23.0,1
1,1,17.0,0.536,1.0,0.0592,1.0,8.0,3.0,39.0,0
0,1,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
1,0,63.0,1.37,20.0,2.37,0.0,0.0,1.0,2.0,0
1,1,25.0,33.5044,50.0,0.0592,1.0,6.0,5.0,342.0,1
1,0,30.0,3.2,20.0,0.0592,1.0,5.0,2.0,10.0,0
1,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,31.0,75.5846,583.6,17.747300000000003,0.0,0.0,2.0,7.0,0
1,1,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,1,28.0,0.108,1.64,4.85,0.0,0.0,2.0,2.0,0
0,0,38.0,40.0601,240.0,0.296,2.0,10.0,3.0,20.0,1
1,0,28.0,9.95,60.04,0.0592,1.0,4.0,3.0,53.0,0
1,1,24.0,23.2279,43.1614,0.296,1.0,19.0,3.0,57.0,1
1,1,34.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,1,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,30.0,12.3476,29.5,0.118,1.0,9.0,3.0,47.0,0
1,1,28.0,0.109,0.1999999999999999,0.177,1.0,16.0,1.0,16.0,0
1,0,52.0,112.8064,600.0,8.870000000000001,0.0,0.0,2.0,16.0,0
0,0,37.0,39.2124,110.0,0.0592,0.0,0.0,5.0,112.0,0
0,1,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,66.0,5.79,40.0,0.118,3.0,26.0,3.0,45.0,0
1,1,22.0,0.387,2.28,4.73,0.0,0.0,1.0,3.0,0
1,1,22.0,1.14,13.999999999999998,0.296,1.0,2.0,2.0,6.0,0
0,0,56.0,45.5362,216.0,1.1800000000000002,0.0,0.0,2.0,16.0,0
1,1,29.0,3.0800000000000005,12.6,0.118,1.0,5.0,3.0,19.0,0
1,0,31.0,66.79039999999999,300.0,0.177,1.0,11.0,4.0,77.0,1
1,1,19.0,0.0592,0.9,2.66,0.0,0.0,2.0,3.0,0
1,0,44.0,0.00657,0.0999999999999999,0.296,1.0,1.0,1.0,1.0,1
0,1,27.0,273.9191,450.0,0.0592,2.0,6.0,5.0,186.0,1
1,0,24.0,0.0130999999999999,0.1999999999999999,0.592,0.0,0.0,1.0,1.0,0
0,1,23.0,0.808,4.0,0.0592,1.0,2.0,2.0,24.0,0
0,1,19.0,2.1100000000000003,8.0,0.0592,1.0,5.0,2.0,17.0,0
0,0,33.0,0.21,1.0,1.1800000000000002,0.0,0.0,2.0,7.0,0
0,1,27.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0
0,1,18.0,0.95,4.0,0.0592,1.0,18.0,3.0,27.0,0
0,0,42.0,9.88,34.0,0.118,1.0,7.0,4.0,33.0,0
0,1,20.0,2.62,9.0,0.0592,2.0,12.0,3.0,27.0,0
1,1,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,35.0,8.75,64.76,5.92,0.0,0.0,1.0,4.0,0
1,1,18.0,0.0118,0.06,0.118,1.0,3.0,3.0,7.0,0
1,1,30.0,10.1136,32.3111,0.148,1.0,1.0,4.0,30.0,1
1,1,23.0,16.8625,19.4,0.385,1.0,2.0,2.0,70.0,0
1,1,30.0,30.956100000000003,43.0,0.296,1.0,2.0,3.0,80.0,1
1,1,37.0,0.00131,0.02,0.0592,1.0,1.0,1.0,1.0,0
0,0,30.0,0.0394,0.6,1.77,0.0,0.0,1.0,1.0,0
1,1,20.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
0,0,43.0,35.4619,400.0,0.118,2.0,6.0,3.0,25.0,0
0,1,22.0,0.00263,0.04,0.118,1.0,1.0,2.0,2.0,0
1,0,39.0,5.74,12.999999999999998,0.592,1.0,7.0,2.0,41.0,1
1,0,37.0,17.851100000000002,20.0,0.0592,3.0,17.0,3.0,64.0,1
0,1,37.0,46.9168,150.0,0.355,0.0,0.0,1.0,116.0,0
0,1,34.0,241.38190000000003,400.0,0.13,0.0,0.0,3.0,18.0,0
1,1,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
1,0,34.0,7.65,59.99999999999999,0.887,0.0,0.0,2.0,14.0,0
0,1,23.0,4.44,9.13,0.296,2.0,3.0,3.0,78.0,0
0,0,57.0,0.98,14.9,44.0724,0.0,0.0,2.0,2.0,0
0,0,30.0,13.2957,20.0,0.0592,1.0,4.0,3.0,63.0,0
